"month","neer","geo","currency","dln_neer"
"2017-01",27.021,"CZ","CZK",0
"2017-02",27.021,"CZ","CZK",0
"2017-03",27.03,"CZ","CZK",0.0333018818640785
"2017-04",26.922,"CZ","CZK",-0.400356406645486
"2017-05",26.422,"CZ","CZK",-1.87467997657391
"2017-06",26.197,"CZ","CZK",-0.855209606196761
"2017-07",26.079,"CZ","CZK",-0.451450762915773
"2017-08",26.101,"CZ","CZK",0.0843235005886456
"2017-09",25.981,"CZ","CZK",-0.460812612219907
"2017-10",25.669,"CZ","CZK",-1.20814635042219
"2017-11",25.491,"CZ","CZK",-0.69585894549884
"2017-12",25.535,"CZ","CZK",0.172461141009306
"2018-01",25.272,"CZ","CZK",-1.03529965998232
"2018-02",25.418,"CZ","CZK",0.576052096009461
"2018-03",25.425,"CZ","CZK",0.0275357474745164
"2018-04",25.542,"CZ","CZK",0.459121413944663
"2018-05",25.797,"CZ","CZK",0.993405002279868
"2018-06",26.02,"CZ","CZK",0.860726698749037
"2018-07",25.598,"CZ","CZK",-1.63512496507594
"2018-08",25.735,"CZ","CZK",0.53377096711178
"2018-09",25.731,"CZ","CZK",-0.015544242832366
"2018-10",25.922,"CZ","CZK",0.739553832478945
"2018-11",25.957,"CZ","CZK",0.134929375315851
"2018-12",25.724,"CZ","CZK",-0.901691448172537
"2019-01",25.76,"CZ","CZK",0.139849296353622
"2019-02",25.601,"CZ","CZK",-0.619148801355562
"2019-03",25.802,"CZ","CZK",0.782059508034738
"2019-04",25.659,"CZ","CZK",-0.555762103619051
"2019-05",25.816,"CZ","CZK",0.610006748290637
"2019-06",25.447,"CZ","CZK",-1.43965968938433
"2019-07",25.658,"CZ","CZK",0.825755597133115
"2019-08",25.914,"CZ","CZK",0.992794937947084
"2019-09",25.816,"CZ","CZK",-0.378890845695867
"2019-10",25.509,"CZ","CZK",-1.19631236778952
"2019-11",25.515,"CZ","CZK",0.0235183444169618
"2019-12",25.408,"CZ","CZK",-0.420242945120952
"2020-01",25.21,"CZ","CZK",-0.782334386489714
"2020-02",25.39,"CZ","CZK",0.711465451675863
"2020-03",27.312,"CZ","CZK",7.29707703354978
